id_responden,alur_pertanyaan,kategori_pertanyaan,isi_jawaban,kunci_jawaban,durasi_waktu_penyelesaian,isi_pertanyaan
301,pretest,pretest1,b,b,,Apa yang dimaksud dengan graf ?
301,pretest,pretest2,e,e,,Apa yang dimaksud dengan simpul (node) pada graf ?
301,pretest,pretest3,e,e,,Apa yang dimaksud dengan sisi (edge) pada graf ?
301,pretest,pretest4,c,c,,Apa yang dimaksud dengan derajat (degree) pada graf ?
301,pretest,pretest5,d,d,,Ada berapa simpul pada gambar graf berikut ini ?
301,pretest,pretest6,c,b,,Ada berapa sisi pada gambar graf berikut ini ?
301,pretest,pretest7,b,b,,Berapa derajat pada simpul nomor 2 yang dimiliki oleh graf berikut ?
301,pretest,pretest8,y,,,Apakah Anda familiar dengan bahasa pemrograman C ?
301,pretest,pretest8.1,c,,,Apakah Anda pernah memprogram graf dengan bahasa pemrograman C ?
301,latihan1,latihan1,e,e,,"Dari kode program berikut, ketika variabel x di print bernilai ..."
301,latihan1,latihan1,e,e,,"Dari kode program berikut, ketika variabel x di print bernilai ..."
301,latihan1,latihan1,e,e,,"Dari kode program berikut, ketika variabel x di print bernilai ..."
301,latihan1,latihan1,"int main() {
  int graf[7][7];
  graf[7][8] = 0;

  printf(&quot;graf&quot;, graf);
  return 0;
}",,,Silakan perbaiki kesalahan sintaks pada kode program berikut ini!
301,latihan1,latihan1,c,c,,Apa nama algoritma yang paling cocok untuk kode program berikut ini ?
301,latihan1,latihan1,b,b,,Fungsi X berguna untuk ...
301,latihan1,latihan1,e,e,,"Dari kode program berikut, ketika variabel x di print bernilai ..."
301,latihan1,latihan1,"int main() {
  int graf[7][7];
  graf[7][8] = 0;

  printf(&quot;graf&quot;, graf);
  return 0;
}",,,Silakan perbaiki kesalahan sintaks pada kode program berikut ini!
301,latihan1,latihan1,c,c,,Apa nama algoritma yang paling cocok untuk kode program berikut ini ?
301,latihan1,latihan1,b,b,,Fungsi X berguna untuk ...
301,latihan2,latihan2,"int main() {
    int x = 17;
    int y = 29;
    int z = y * x;
    printf(&quot;z = %d&quot;, z);
    return 0;
}",Output Program: z : 493,,"Silakan perbaiki kesalahan sintaks pada kode program berikut ini!
Output Program: z : 493"
301,latihan2,latihan2,b,b,,Prosedur xyz  berguna untuk ...
301,latihan2,latihan2,b,b,,"Dari kode program berikut ini, berapa nilai M[2][3] pada baris ke-4 ?"
301,latihan2,latihan2,c,c,,Apa kegunaan kode program berikut ini ?
301,simulasi1sesi1,Simulasi1Sesi1,d,e,menit 13:detik 54,Berapa bobot antara simpul 7 dan 1 dalam graf kode program berikut ini ?
